dataset,type,PSNR,SSIM,BRISQUE,NIQE
dataset1,original,27.95916716033904,0.18977486175467997,,166.17552146118797
dataset1,processed,27.883177344504226,0.4312094448274789,,137.3917458742398
dataset2,original,28.319351782075213,0.8187162505972873,,52.36627706267911
dataset2,processed,28.047100924163153,0.8971075673655512,,34.34568163651395
