dataset,filename,type,PSNR,SSIM,BRISQUE,NIQE
dataset1,1.png,original,27.789972533257817,0.24339526026144834,,143.56711585615898
dataset1,111.png,original,27.977365995185117,0.19314972168108616,,161.44425601585976
dataset1,146.png,original,28.5394620700154,0.25865459370410665,,154.39858949005327
dataset1,179.png,original,27.797829467062563,0.4316175616292794,,164.21698522340387
dataset1,22.png,original,27.65576964765298,0.18846764029763302,,159.17790947544063
dataset1,23.png,original,27.914456444060207,0.08109399964028546,,174.41931432819155
dataset1,493.png,original,28.69002039455577,0.13565325483934834,,178.82325164261107
dataset1,547.png,original,27.718457503777362,0.21884928907377332,,167.84904064657698
dataset1,55.png,original,27.687282440721535,0.08322902059999372,,173.65272071672757
dataset1,665.png,original,28.1615324193372,0.09462716899758578,,177.91126557100438
dataset1,669.png,original,28.169334293273785,0.19680567114238448,,165.75615959104096
dataset1,748.png,original,27.62669382890334,0.1982651239869555,,169.2022314128517
dataset1,778.png,original,27.848285079479428,0.08048829877975534,,176.17080263264526
dataset1,780.png,original,28.00413836427139,0.23559586474984084,,167.03352459658154
dataset1,79.png,original,27.80690692353168,0.20673045693672312,,159.0096547186718
dataset2,uieb_10945.png,original,27.73063496324092,0.7759785321046981,,70.01138232066103
dataset2,uieb_112_img_.png,original,28.463049392358897,0.7434759695077336,,54.578202137653946
dataset2,uieb_117_img_.png,original,27.990356884267605,0.7407281231537315,,41.04256967564555
dataset2,uieb_120_img_.png,original,27.832871280549654,0.5836405083790585,,42.68535376685503
dataset2,uieb_12324.png,original,27.459797791099017,0.4738580630401067,,105.03056652646626
dataset2,uieb_140_img_.png,original,28.327381651769826,0.7450715435798775,,67.82799734913444
dataset2,uieb_151_img_.png,original,28.500180646232216,0.8471992550220674,,57.192076999503506
dataset2,uieb_152_img_.png,original,27.747373082110958,0.8758426027695865,,40.42802176546176
dataset2,uieb_177_img_.png,original,28.64653012691179,0.9259465645499263,,53.506932373126546
dataset2,uieb_18_img_.png,original,27.748458136636373,0.49509129068065666,,53.93099932727175
dataset2,uieb_191_img_.png,original,27.630319331419003,0.8223216206029446,,29.037568019527818
dataset2,uieb_192_img_.png,original,28.048891450491116,0.8208415404384034,,45.54584856665068
dataset2,uieb_206_img_.png,original,28.39404245279661,0.8192851055654742,,32.510963961351166
dataset2,uieb_236_img_.png,original,27.937829672641676,0.5603627148159176,,44.6143515047239
dataset2,uieb_265_img_.png,original,27.85618205555512,0.5862863699383519,,40.2766958377416
dataset2,uieb_26_img_.png,original,28.053416559458103,0.6620681015893591,,58.81064158878297
dataset2,uieb_28_img_.png,original,29.73615985554641,0.9584539643511251,,12.727821563083523
dataset2,uieb_305_img_.png,original,30.93482960261894,0.9637143109551788,,71.88763620718566
dataset2,uieb_3202.png,original,28.207553848883965,0.9289013529226845,,98.441648233181
dataset2,uieb_343_img_.png,original,28.145961092836963,0.908736488102247,,61.14457654377656
dataset2,uieb_346_img_.png,original,28.33132401229776,0.9428071874987275,,46.1844532096883
dataset2,uieb_348_img_.png,original,28.04200783417872,0.8195554089858255,,64.72455216626163
dataset2,uieb_353_img_.png,original,27.858964842930156,0.6596361060499859,,72.48545680264193
dataset2,uieb_367_img_.png,original,29.094998159860808,0.9262787459792795,,29.630830928668864
dataset2,uieb_387_img_.png,original,28.02493752883692,0.5454951368895732,,124.6234874991282
dataset2,uieb_393_img_.png,original,27.838983445616023,0.7425541982638462,,35.237421412009795
dataset2,uieb_406_img_.png,original,27.969434777389086,0.8785157507828014,,50.12139009590388
dataset2,uieb_415_img_.png,original,27.52815280768534,0.9343623758205913,,53.71199344050909
dataset2,uieb_417_img_.png,original,27.997845991332465,0.8654121361001338,,70.92317861822954
dataset2,uieb_419_img_.png,original,28.417492999998316,0.8830901787862798,,96.31469236614062
dataset2,uieb_421_img_.png,original,32.12335429648777,0.9663983038844933,,76.2277892928273
dataset2,uieb_425_img_.png,original,28.328899086443883,0.9219948357598433,,34.2120554446218
dataset2,uieb_463_img_.png,original,28.394570401393366,0.8375731642233938,,49.418017782823114
dataset2,uieb_481_img_.png,original,28.190433666102457,0.8854462890173398,,54.78713819230224
dataset2,uieb_485_img_.png,original,28.081249049849852,0.8333486635547469,,64.22029621694226
dataset2,uieb_489_img_.png,original,28.03198100553883,0.9122174284846342,,66.63451376251393
dataset2,uieb_503_img_.png,original,28.0032194251578,0.765819213074576,,50.326023704243525
dataset2,uieb_527_img_.png,original,27.935321692952808,0.8988802888675256,,47.22219855427528
dataset2,uieb_52_img_.png,original,27.862936185616228,0.7529225370007775,,54.359503277005174
dataset2,uieb_537_img_.png,original,27.739332355709237,0.8227493765304639,,61.63439721669056
dataset2,uieb_543_img_.png,original,27.80366220094987,0.8070987877741779,,54.9576669882958
dataset2,uieb_563_img_.png,original,28.0857664570455,0.8123006017820595,,87.22558300345102
dataset2,uieb_564_img_.png,original,28.151292133627503,0.881250897703781,,87.25755322153655
dataset2,uieb_56_img_.png,original,27.93540796884361,0.8605151771682047,,86.70917567780725
dataset2,uieb_581_img_.png,original,27.854312969248312,0.8827698817232535,,33.065593152564524
dataset2,uieb_586_img_.png,original,27.633519010757325,0.5000221579628144,,122.61934771677556
dataset2,uieb_596_img_.png,original,27.924154802780432,0.6470972866869257,,41.35408402292421
dataset2,uieb_597_img_.png,original,27.796751285249854,0.7775163964058077,,31.688222251860566
dataset2,uieb_606_img_.png,original,28.069378527566798,0.7850603258144895,,47.541647930932484
dataset2,uieb_607_img_.png,original,28.199955567405205,0.8029132144513582,,45.061526563700234
dataset2,uieb_608_img_.png,original,27.838937389944313,0.48590917693238844,,56.03990591075536
dataset2,uieb_614_img_.png,original,27.95543494689737,0.8247683895676443,,43.82550537913819
dataset2,uieb_618_img_.png,original,27.80050422682635,0.7317089485365563,,33.602083775225495
dataset2,uieb_626_img_.png,original,27.889601322290687,0.6565748136737775,,33.408685891515
dataset2,uieb_630_img_.png,original,27.91336328143376,0.7600751952062493,,29.97342565057989
dataset2,uieb_631_img_.png,original,27.890238395719035,0.8260985404230861,,28.42114688147751
dataset2,uieb_648_img_.png,original,28.613191334278763,0.945456057007773,,56.37580078718605
dataset2,uieb_654_img_.png,original,27.849184897121454,0.8897838687128833,,58.458181494473145
dataset2,uieb_657_img_.png,original,27.745625305498468,0.9410393143318251,,41.40853909113061
dataset2,uieb_674_img_.png,original,29.2816395155157,0.9434080317296292,,35.61561224444663
dataset2,uieb_688_img_.png,original,28.202313389653053,0.9567836217630596,,30.493607384831066
dataset2,uieb_699_img_.png,original,32.40832076058481,0.9896492132116722,,8.96404551514032
