dataset,filename,resize_percent,PSNR,SSIM,BRISQUE,NIQE
dataset2,uieb_688_img_.png,25,28.180790093571687,0.9538351660945801,,31.120726601882048
dataset2,uieb_688_img_.png,50,28.180952716054936,0.9546532370481251,,30.902903759734947
dataset2,uieb_688_img_.png,75,28.188438238429107,0.9555652924778673,,30.97584924021669
dataset2,uieb_688_img_.png,100,28.202313389653053,0.9567836217630596,,30.493607384831066
dataset2,uieb_699_img_.png,25,32.430093749542934,0.9914131585725343,,9.063853699086629
dataset2,uieb_699_img_.png,50,32.45598630642138,0.9909517671592314,,9.197424634611586
dataset2,uieb_699_img_.png,75,32.4291075295829,0.9899929613803135,,9.268668693919622
dataset2,uieb_699_img_.png,100,32.40832076058481,0.9896492132116722,,8.96404551514032
dataset2,uieb_711_img_.png,25,27.97928917790971,0.7933802937395931,,75.47279691216313
dataset2,uieb_711_img_.png,50,27.981300392010283,0.8230777348625784,,75.45828050132084
dataset2,uieb_711_img_.png,75,27.987341229319455,0.839928672102807,,75.4218946915979
dataset2,uieb_711_img_.png,100,27.988606808778034,0.8488566661051247,,75.30629949246611
dataset2,uieb_720_img_.png,25,28.296357374925535,0.9062395030392122,,42.77191455121919
dataset2,uieb_720_img_.png,50,28.30060476296481,0.9011050186995581,,42.72781277714049
dataset2,uieb_720_img_.png,75,28.29816511394268,0.8988412122456992,,42.65102544158793
dataset2,uieb_720_img_.png,100,28.307185162010544,0.8972547898725272,,42.173546296566386
dataset2,uieb_754_img_.png,25,29.93684408846651,0.949271636778975,,31.561952810490688
dataset2,uieb_754_img_.png,50,29.93821903008291,0.9519177835432884,,31.84194186899559
dataset2,uieb_754_img_.png,75,29.936976675485806,0.9541934556421923,,31.446351741474928
dataset2,uieb_754_img_.png,100,29.92914535021889,0.9555909371486806,,31.02956720896823
dataset2,uieb_760_img_.png,25,27.803453130257033,0.9083840042719177,,13.781034322420595
dataset2,uieb_760_img_.png,50,27.803516893286982,0.9007178701033333,,14.47110758589357
dataset2,uieb_760_img_.png,75,27.81127655183409,0.8935436950505644,,13.394506698963902
dataset2,uieb_760_img_.png,100,27.839135580927135,0.8868408958934312,,11.489650833819105
