dataset,filename,resize_percent,PSNR,SSIM,BRISQUE,NIQE,time
dataset1,1.png,25,27.7731399150098,0.21711561625333434,27.3126544393576,143.5346107801896,0.0019986629486083984
dataset1,1.png,50,27.79833173933719,0.23427692404614595,25.302560176037986,143.56303838543096,0.007996082305908203
dataset1,1.png,75,27.795689213008437,0.2403504181512386,26.94546666283415,143.7395754420105,0.01599860191345215
dataset1,1.png,100,27.789972533257817,0.24339526026144834,21.02459699320454,143.56711585615898,0.022998332977294922
dataset1,111.png,25,27.962106552066736,0.16041820638181578,33.27130618050953,161.42929292622418,0.002000570297241211
dataset1,111.png,50,27.966699568702154,0.18048913241719222,34.815721012483635,161.4462606528595,0.00899958610534668
dataset1,111.png,75,27.963901796333968,0.18858878307025517,33.952045355155605,161.62556827000054,0.014007091522216797
dataset1,111.png,100,27.977365995185117,0.19314972168108616,27.173536310585263,161.44425601585976,0.021996498107910156
dataset1,146.png,25,28.442363249290285,0.24330655167334417,13.690373735033717,154.53377798131305,0.0029990673065185547
dataset1,146.png,50,28.437974029454082,0.25485883644025425,12.938224348938746,154.5164850397799,0.00699925422668457
dataset1,146.png,75,28.48700648412509,0.2579816581759425,8.422467967890697,154.6699665494368,0.01399683952331543
dataset1,146.png,100,28.5394620700154,0.2586545937041066,-1.5463617087437171,154.39858949005327,0.021996259689331055
dataset1,179.png,25,27.80688520188297,0.4239294359471907,6.3908006992193975,164.53114203758915,0.004366636276245117
dataset1,179.png,50,27.813403434215203,0.4380360096546592,0.1942718307261373,164.53449490743702,0.0069997310638427734
dataset1,179.png,75,27.81438988707338,0.437478184842704,2.0248049793712823,164.62124128690863,0.012994766235351562
dataset1,179.png,100,27.797829467062563,0.4316175616292793,0.19270180907298595,164.21698522340387,0.023009538650512695
dataset1,22.png,25,27.626254141885628,0.15640760436903775,29.90106514579267,159.18757991548566,0.0019991397857666016
dataset1,22.png,50,27.639430865630708,0.17735183024987597,23.974191825519227,159.18250639503353,0.00899958610534668
dataset1,22.png,75,27.643380630296377,0.18493028014075724,23.46166199668997,159.3509330983496,0.01399850845336914
dataset1,22.png,100,27.65576964765298,0.18846764029763294,20.288841751945,159.17790947544063,0.023006200790405273
dataset1,23.png,25,27.87842330961284,0.0622429190142887,30.382237674543575,174.4006005072078,0.003000974655151367
dataset1,23.png,50,27.91550102167384,0.07442941997357828,30.275275108379645,174.40639257397314,0.00814056396484375
dataset1,23.png,75,27.90750679884475,0.07832214058593732,30.129152527810874,174.58132651027023,0.015001296997070312
dataset1,23.png,100,27.914456444060207,0.08109399964028549,25.909837312842427,174.41931432819155,0.022997140884399414
dataset1,493.png,25,28.554607309328873,0.097245363402725,26.400362619703373,178.70751296970826,0.0030007362365722656
dataset1,493.png,50,28.550823420339363,0.12331356235003912,35.568316446571515,178.76110126411228,0.007997751235961914
dataset1,493.png,75,28.575636711074658,0.13168219153117108,33.98978199735686,178.9396747284434,0.012997627258300781
dataset1,493.png,100,28.69002039455577,0.13565325483934834,27.12554224200582,178.82325164261107,0.022995948791503906
dataset1,547.png,25,27.724984131208345,0.18347226579219267,6.702655042758323,167.88845416326745,0.0020003318786621094
dataset1,547.png,50,27.71172267935787,0.21059184188507227,-0.10800016111650734,167.89908054192023,0.008998870849609375
dataset1,547.png,75,27.713677122344116,0.2177374580005597,1.587692894518085,168.07349391287147,0.01499629020690918
dataset1,547.png,100,27.718457503777362,0.21884928907377327,2.541576528418858,167.84904064657698,0.02399587631225586
dataset1,55.png,25,27.693876294912585,0.062409226215221825,40.63630825025459,173.6170309679141,0.0029997825622558594
dataset1,55.png,50,27.686033625663136,0.07552268910713622,41.31475452062543,173.63051207651387,0.007988214492797852
dataset1,55.png,75,27.683887681542338,0.07975414165353772,41.233908979648476,173.8101129984289,0.012997150421142578
dataset1,55.png,100,27.687282440721535,0.08322902059999371,33.32083942645451,173.65272071672757,0.021996736526489258
dataset1,665.png,25,28.167450107029207,0.08477970172580142,26.899161012353687,177.9772502945525,0.0029985904693603516
dataset1,665.png,50,28.158830566045413,0.09701177574994711,30.178535130497693,177.96433413011053,0.0069675445556640625
dataset1,665.png,75,28.166678042596555,0.09716949453082338,25.056321272010535,178.129736366107,0.014997005462646484
dataset1,665.png,100,28.1615324193372,0.09462716899758582,18.838631736731912,177.91126557100438,0.0209958553314209
dataset1,669.png,25,28.17147647315833,0.16922826353770137,12.829736563976184,165.78871977900974,0.002988576889038086
dataset1,669.png,50,28.181748916726814,0.18843739410489058,22.06465781563267,165.81468424942088,0.005998134613037109
