dataset,resize_percent,PSNR,SSIM,BRISQUE,NIQE
dataset1,25,27.94391593242427,0.16625840507965686,23.042344018126208,166.3088054195717
dataset1,50,27.945716484913984,0.18353938597166872,23.669972103860164,166.31096176444214
dataset1,75,27.94980052982957,0.18825734924675358,23.491690049216565,166.45068728827107
dataset1,100,27.95916716033904,0.18977486175467995,18.00373201473864,166.17552146118797
dataset2,25,28.32331680215985,0.7992203554160935,17.399337532289533,52.76873248974657
dataset2,50,28.324566496305113,0.8096581878989072,16.737405179681048,52.778507566235525
dataset2,75,28.32223046342093,0.8165942424758307,21.497014694561724,52.72693555983688
dataset2,100,28.319351782075213,0.8187162505972873,26.10886036019604,52.36627706267911
