dataset,filename,type,PSNR,SSIM,BRISQUE,NIQE,time
dataset1,1.png,processed,27.87029294855545,0.5186140333575677,26.824507172247166,112.76918264780525,0.011070966720581055
dataset1,111.png,processed,28.241116099708997,0.4050473167867301,19.940779620979214,130.31775160266147,0.0009942054748535156
dataset1,146.png,processed,27.97576830928715,0.5049092597798694,18.674314414494546,122.57171816570656,0.0010004043579101562
dataset1,179.png,processed,28.02068438404603,0.7800833338225274,25.836098204344324,129.50983004415252,0.0009992122650146484
dataset1,22.png,processed,28.275207881640018,0.43718536765564586,20.7954358701472,125.95924348691412,0.0
dataset1,23.png,processed,27.694531654230552,0.22653067192414428,24.67708828755778,150.03391739966793,0.0010018348693847656
dataset1,493.png,processed,28.319972513681492,0.3797463094296109,13.881715800739329,157.58395706550294,0.0
dataset1,547.png,processed,27.493970443788083,0.48871185460561994,13.65411629280672,137.65671440897512,0.0
dataset1,55.png,processed,27.681214029474866,0.23290696041341413,25.742540634272444,146.97320674044016,0.0010035037994384766
dataset1,665.png,processed,27.77677880910052,0.2674670870810426,25.77160858543786,157.24175024458913,0.000990152359008789
dataset1,669.png,processed,27.61081194825745,0.4199627001346214,23.03711332371924,132.3509595911682,0.0009648799896240234
dataset1,748.png,processed,27.55241052243764,0.5185733465215193,27.856880603154394,141.19266991699067,0.0011212825775146484
dataset1,778.png,processed,27.812546637939562,0.30733546179395793,19.378343032082938,152.12660801784335,0.0010859966278076172
dataset1,780.png,processed,27.45539939837024,0.553953501278194,31.04273582075413,142.202507734267,0.0010104179382324219
dataset1,79.png,processed,28.46695458704533,0.4271144678277187,20.009409575042554,122.38617104691265,0.0010020732879638672
dataset2,uieb_10945.png,processed,27.639058402861394,0.9028649991502272,46.141867302137,59.87654153436589,0.0010027885437011719
dataset2,uieb_112_img_.png,processed,27.678618321874445,0.9133387250225948,17.818571000213268,43.80357578548116,0.012003660202026367
dataset2,uieb_117_img_.png,processed,28.04126418379862,0.9199016341603546,7.80950351432827,22.401478295575885,0.001986265182495117
dataset2,uieb_120_img_.png,processed,27.990301724717455,0.8308818388470511,12.509627826300147,36.66659427123168,0.0010025501251220703
dataset2,uieb_12324.png,processed,27.815469944212445,0.7100983993127635,26.97779673265788,74.57170556810622,0.0039980411529541016
dataset2,uieb_140_img_.png,processed,28.04672597609978,0.9199659745900458,14.882483404445082,48.66402711595329,0.004100799560546875
dataset2,uieb_151_img_.png,processed,28.014255565857948,0.94204791063873,7.165202815125866,49.186860940878475,0.0024728775024414062
dataset2,uieb_152_img_.png,processed,27.682653555849598,0.9201327471909203,22.35943792730606,26.369589497102695,0.0009582042694091797
dataset2,uieb_177_img_.png,processed,28.229250275395522,0.8840599282654698,15.92243323503314,25.962368423859587,0.0030291080474853516
dataset2,uieb_18_img_.png,processed,27.97958091234609,0.8038931405745734,14.428255706623276,38.59977860812504,0.001985311508178711
dataset2,uieb_191_img_.png,processed,27.87217771720263,0.8214052473676435,12.597950157792383,24.08857902845177,0.002229452133178711
