,PSNR,SSIM,BRISQUE,NIQE
PSNR,1.0,0.26508474493357603,-0.10406632859434718,-0.18564470550636705
SSIM,0.26508474493357603,1.0,0.11596630382558334,-0.8514554383848221
BRISQUE,-0.10406632859434718,0.11596630382558334,1.0,-0.01226505072525963
NIQE,-0.18564470550636705,-0.8514554383848221,-0.01226505072525963,1.0
