resize_percent,PSNR,SSIM,BRISQUE,NIQE
25,28.26911667791191,0.7087972196537453,18.271967401233347,68.98874290829302
50,28.27044506610638,0.7202126447664445,17.727771883135205,68.99742959455075
75,28.26902618719359,0.7268318291573911,21.781968316655274,68.97318580675605
100,28.267896836112904,0.728867480762629,24.950984882273552,68.62474054818037
