,PSNR,SSIM,BRISQUE,NIQE
PSNR,1.0,0.4859812175851088,-0.0932233643134117,-0.23989465261602952
SSIM,0.4859812175851088,1.0,0.021474409850563505,-0.5401476547897102
BRISQUE,-0.0932233643134117,0.021474409850563505,1.0,0.06801385194999562
NIQE,-0.23989465261602952,-0.5401476547897102,0.06801385194999562,1.0
