dataset,filename,type,PSNR,SSIM,BRISQUE,NIQE
dataset1,1.png,original,27.789972533257817,0.24339526026144834,21.02459699320545,143.56711585615898
dataset1,111.png,original,27.977365995185117,0.19314972168108616,27.17353631058424,161.44425601585976
dataset1,146.png,original,28.5394620700154,0.2586545937041066,-1.5463617087291652,154.39858949005327
dataset1,179.png,original,27.797829467062563,0.4316175616292793,0.19270180903524192,164.21698522340387
dataset1,22.png,original,27.65576964765298,0.18846764029763294,20.288841751932267,159.17790947544063
dataset1,23.png,original,27.914456444060207,0.08109399964028549,25.909837312840722,174.41931432819155
dataset1,493.png,original,28.69002039455577,0.13565325483934834,27.12554224202242,178.82325164261107
dataset1,547.png,original,27.718457503777362,0.21884928907377327,2.541576528436707,167.84904064657698
dataset1,55.png,original,27.687282440721535,0.08322902059999371,33.32083942647725,173.65272071672757
dataset1,665.png,original,28.1615324193372,0.09462716899758582,18.838631736724636,177.91126557100438
dataset1,669.png,original,28.169334293273785,0.19680567114238448,20.626586963805693,165.75615959104096
dataset1,748.png,original,27.62669382890334,0.1982651239869555,24.220611537231633,169.2022314128517
dataset1,778.png,original,27.848285079479428,0.08048829877975536,4.811244153711158,176.17080263264526
dataset1,780.png,original,28.00413836427139,0.23559586474984093,22.831512419877726,167.03352459658154
dataset1,79.png,original,27.80690692353168,0.2067304569367231,22.696282743917862,159.0096547186718
dataset2,uieb_10945.png,original,27.73063496324092,0.7759785321046985,67.04589420168551,70.01138232066103
dataset2,uieb_112_img_.png,original,28.463049392358897,0.7434759695077341,30.128054197678665,54.578202137653946
dataset2,uieb_117_img_.png,original,27.990356884267605,0.7407281231537312,4.4413203409792175,41.04256967564555
dataset2,uieb_120_img_.png,original,27.832871280549654,0.5836405083790585,14.50388528841151,42.68535376685503
dataset2,uieb_12324.png,original,27.459797791099017,0.47385806304010675,45.46716163048379,105.03056652646626
dataset2,uieb_140_img_.png,original,28.327381651769826,0.7450715435798769,13.082259566223655,67.82799734913444
dataset2,uieb_151_img_.png,original,28.500180646232216,0.8471992550220674,8.787708066602448,57.192076999503506
dataset2,uieb_152_img_.png,original,27.747373082110958,0.8758426027695863,18.714566001996644,40.42802176546175
dataset2,uieb_177_img_.png,original,28.64653012691179,0.9259465645499263,2.006654244743885,53.506932373126546
dataset2,uieb_18_img_.png,original,27.748458136636373,0.49509129068065666,13.572912489262961,53.93099932727175
dataset2,uieb_191_img_.png,original,27.630319331419003,0.8223216206029444,4.960864083170435,29.037568019527825
dataset2,uieb_192_img_.png,original,28.048891450491116,0.8208415404384033,5.326778091667364,45.54584856665069
dataset2,uieb_206_img_.png,original,28.39404245279661,0.8192851055654747,21.12919603781367,32.510963961351166
dataset2,uieb_236_img_.png,original,27.937829672641676,0.5603627148159176,14.6565642450648,44.6143515047239
dataset2,uieb_265_img_.png,original,27.85618205555512,0.5862863699383518,6.742580979741177,40.2766958377416
dataset2,uieb_26_img_.png,original,28.053416559458103,0.6620681015893591,19.09222812116124,58.81064158878297
dataset2,uieb_28_img_.png,original,29.73615985554641,0.9584539643511247,30.428745645545604,12.727821563083523
dataset2,uieb_305_img_.png,original,30.93482960261894,0.9637143109551788,6.535695063609381,71.88763620718565
dataset2,uieb_3202.png,original,28.207553848883965,0.928901352922685,72.89255391161234,98.441648233181
dataset2,uieb_343_img_.png,original,28.145961092836963,0.908736488102247,7.648411610773763,61.14457654377656
dataset2,uieb_346_img_.png,original,28.33132401229776,0.9428071874987274,8.983131372362294,46.1844532096883
dataset2,uieb_348_img_.png,original,28.04200783417872,0.8195554089858252,12.785391148525576,64.72455216626163
dataset2,uieb_353_img_.png,original,27.858964842930156,0.6596361060499859,24.065718181615665,72.48545680264193
dataset2,uieb_367_img_.png,original,29.094998159860808,0.9262787459792795,6.441653094587963,29.630830928668864
dataset2,uieb_387_img_.png,original,28.02493752883692,0.5454951368895733,38.77849041410829,124.62348749912822
dataset2,uieb_393_img_.png,original,27.838983445616023,0.7425541982638462,40.055027521752635,35.2374214120098
dataset2,uieb_406_img_.png,original,27.969434777389086,0.8785157507828018,34.87682103766062,50.12139009590388
dataset2,uieb_415_img_.png,original,27.52815280768534,0.9343623758205911,26.669165165731755,53.71199344050909
dataset2,uieb_417_img_.png,original,27.997845991332465,0.8654121361001339,24.968443489367218,70.92317861822954
dataset2,uieb_419_img_.png,original,28.417492999998316,0.8830901787862799,26.366263509314848,96.31469236614062
dataset2,uieb_421_img_.png,original,32.12335429648777,0.9663983038844933,4.267312251908805,76.22778929282728
dataset2,uieb_425_img_.png,original,28.328899086443883,0.9219948357598436,17.499422954044093,34.212055444621804
dataset2,uieb_463_img_.png,original,28.394570401393366,0.8375731642233937,10.036893762526432,49.418017782823114
dataset2,uieb_481_img_.png,original,28.190433666102457,0.88544628901734,22.15542710148449,54.78713819230223
dataset2,uieb_485_img_.png,original,28.081249049849852,0.8333486635547465,64.92698213053674,64.22029621694226
dataset2,uieb_489_img_.png,original,28.03198100553883,0.9122174284846336,33.58687613447634,66.63451376251393
dataset2,uieb_503_img_.png,original,28.0032194251578,0.7658192130745759,29.163631630813796,50.32602370424353
dataset2,uieb_527_img_.png,original,27.935321692952808,0.898880288867526,7.551989222325318,47.22219855427528
dataset2,uieb_52_img_.png,original,27.862936185616228,0.7529225370007776,46.06973453826296,54.359503277005174
dataset2,uieb_537_img_.png,original,27.739332355709237,0.8227493765304636,15.36607530403191,61.63439721669056
dataset2,uieb_543_img_.png,original,27.80366220094987,0.8070987877741778,34.008545159950444,54.957666988295806
dataset2,uieb_563_img_.png,original,28.0857664570455,0.8123006017820595,45.73005429862198,87.22558300345102
dataset2,uieb_564_img_.png,original,28.151292133627503,0.8812508977037807,54.230786001294945,87.25755322153655
dataset2,uieb_56_img_.png,original,27.93540796884361,0.8605151771682047,20.84326521804425,86.70917567780725
dataset2,uieb_581_img_.png,original,27.854312969248312,0.8827698817232532,34.19525501639757,33.06559315256452
